120
('X', (3, 4), (3, 3)), 80.17623076900054
('O', (2, 0), (2, 1)), 112.20409290600219
('O', (3, 0), (3, 1)), 58.63528807900366
('X', (3, 5), (3, 4)), 104.79016063400195
('O', (2, 0), (3, 0)), 41.29620041600356
('X', (4, 5), (4, 4)), 97.32562881100239
('X', (0, 5), (1, 5)), 27.973509158004163
('X', (0, 0), (0, 1)), 89.91420906200074
('X', (1, 0), (1, 1)), 13.508593598002335
('O', (0, 0), (3, 2)), 82.3476682540022
('O', (2, 0), (2, 4)), 1.3506950250011869
('O', (0, 0), (4, 2)), 75.03693605100489
('O', (2, 0), (4, 3)), 0.13492819100429188
('O', (4, 0), (5, 0)), 67.46603239300384
('X', (2, 0), (1, 0)), 0.013357744006498251
('X', (0, 0), (2, 0)), 59.63866464900275
('X', (0, 2), (0, 3)), 0.00105527300547692
('X', (1, 2), (2, 2)), 51.88702592300251
('X', (1, 4), (1, 3)), -3.439099600655027e-05
