120
('X', (3, 0), (3, 1)), 103.21847784700003
('O', (2, 0), (2, 1)), 112.59005377200083
('O', (0, 0), (0, 1)), 100.51045834999968
('O', (1, 0), (2, 0)), 102.13586609300182
('O', (1, 3), (1, 4)), 93.5871886749992
('O', (4, 3), (3, 3)), 95.0222719830017
('O', (5, 3), (4, 3)), 85.83655430099861
('X', (4, 0), (3, 0)), 88.16151840200291
('X', (4, 1), (4, 0)), 78.98989477799842
('O', (5, 1), (5, 2)), 77.59778159700181
('X', (4, 2), (4, 1)), 77.90110675399774
('X', (3, 2), (2, 2)), 70.81888338300087
('X', (4, 2), (3, 2)), 77.08364576399799
('O', (5, 0), (5, 1)), 63.86080918300104
('O', (1, 0), (1, 1)), 72.97422135199668
('O', (0, 0), (1, 0)), 54.737256745000195
('O', (5, 0), (0, 0)), 60.901847076997
('X', (4, 4), (3, 4)), 46.63319287000013
('X', (4, 5), (4, 4)), 57.77070657299737
('X', (5, 5), (4, 5)), 40.17403005000051
('O', (5, 3), (5, 4)), 55.8837696849987
('X', (5, 0), (2, 3)), 33.84045615600007
