300
('O', (3, 2), (4, 2)), 299.56390663800084
('X', (0, 3), (1, 3)), 280.63408861100106
('O', (3, 3), (4, 3)), 299.40148312400015
('O', (2, 3), (3, 3)), 262.411532342001
('O', (2, 2), (2, 3)), 299.29705462899983
('X', (0, 2), (1, 2)), 243.24956893900162
('O', (3, 2), (2, 2)), 299.23642160000054
('O', (3, 0), (3, 1)), 223.76060053900255
('O', (1, 0), (0, 0)), 299.17002683099963
('O', (3, 0), (4, 0)), 205.46014400900276
('O', (1, 0), (1, 1)), 299.1403255119985
('X', (0, 1), (0, 2)), 185.94374538200282
('X', (0, 3), (0, 4)), 299.11984073999884
('X', (0, 1), (3, 2)), 167.4469323070025
('O', (2, 0), (2, 1)), 299.00688954199904
('X', (0, 3), (3, 4)), 147.0880909260013
