300
('O', (3, 2), (4, 2)), 299.4697100779995
('X', (0, 3), (1, 3)), 280.7996080440007
('O', (3, 3), (4, 3)), 299.29088335400047
('O', (2, 3), (3, 3)), 262.33012161199986
('O', (2, 2), (2, 3)), 299.18036387400025
('X', (0, 2), (1, 2)), 238.03921752799943
('O', (3, 2), (2, 2)), 299.0735887890005
('O', (3, 0), (3, 1)), 219.36842989999786
('O', (1, 0), (0, 0)), 299.0271818199999
('O', (3, 0), (4, 0)), 201.30831667099665
('O', (1, 0), (1, 1)), 299.0026999410002
('X', (0, 1), (0, 2)), 182.43447645099695
('X', (0, 3), (0, 4)), 298.9821848929987
('X', (0, 1), (3, 2)), 164.02124472799733
('O', (2, 0), (2, 1)), 298.9171663670004
('X', (0, 3), (3, 4)), 142.7797274029963
