300
('O', (3, 2), (4, 2)), 299.55459877799876
('X', (0, 3), (1, 3)), 280.7619581500003
('O', (3, 3), (4, 3)), 299.3857281089986
('O', (2, 3), (3, 3)), 262.0449634859997
('O', (2, 2), (2, 3)), 299.27907843499815
('X', (0, 2), (1, 2)), 242.69582208999964
('O', (3, 2), (2, 2)), 299.2222497139992
('O', (3, 0), (3, 1)), 221.5093784769997
('O', (1, 0), (0, 0)), 299.1792976049983
('O', (3, 0), (4, 0)), 201.82534843399844
('O', (1, 0), (1, 1)), 299.1492785989976
('X', (0, 1), (0, 2)), 183.86247880799783
('X', (0, 3), (0, 4)), 299.1250601179963
('X', (0, 1), (3, 2)), 164.92753444299888
('O', (2, 0), (2, 1)), 299.071629631997
('X', (0, 3), (3, 4)), 143.28158110999902
