300
('X', (3, 2), (3, 3)), 281.5858328329923
('O', (2, 4), (2, 3)), 282.3525323650101
('X', (4, 2), (3, 2)), 262.751225651984
('O', (1, 4), (2, 4)), 264.7052116760169
('O', (0, 4), (1, 4)), 243.8789850029716
('O', (0, 1), (1, 1)), 247.05786655901466
('O', (0, 5), (1, 5)), 222.4860943059757
('X', (4, 5), (4, 4)), 229.41058736901323
('X', (3, 5), (2, 5)), 200.80932381497405
('X', (5, 5), (4, 5)), 211.76325953101332
('O', (0, 4), (0, 5)), 182.59552636096487
('X', (5, 4), (5, 3)), 194.1150487550185
('O', (0, 3), (0, 2)), 106.14331191196106
('X', (5, 5), (5, 4)), 176.4676853750134
('X', (5, 2), (4, 2)), 85.35190625296673
('X', (5, 1), (5, 0)), 158.8203829130216
('O', (0, 4), (0, 3)), 72.034908978967
('O', (3, 4), (3, 5)), 141.17311074702593
('O', (3, 1), (4, 1)), 62.23751619597897
('O', (3, 0), (4, 0)), 123.52585794702463
('O', (0, 0), (1, 0)), 50.34462970797904
('O', (0, 1), (0, 0)), 105.87855293502798
('O', (0, 4), (0, 1)), 40.765475799984415
